DATA:,NODE #93

FROM:,2019-02-14 09:49:36
TO:,2019-09-10 09:49:36

SENSOR:,Soil moisture,%
VALUE, TIMESTAMP
7.2,2019-02-14 18:43:08
7.2,2019-02-14 21:41:43
7.2,2019-02-15 00:40:21
7.2,2019-02-15 03:38:55
7.2,2019-02-15 06:37:30
7.2,2019-02-15 09:36:10
7.2,2019-02-15 12:34:44
20.6,2019-02-15 15:33:17
19.1,2019-02-15 18:31:53
18.2,2019-02-15 21:30:36
17.1,2019-02-16 00:29:05
16,2019-02-16 03:27:40
15.1,2019-02-16 06:26:15
14.7,2019-02-16 09:24:51
14.3,2019-02-16 12:23:31
14.3,2019-02-16 15:22:10
13.5,2019-02-16 18:20:45
13.5,2019-02-16 21:19:18
12.8,2019-02-17 00:17:50
12.7,2019-02-17 03:16:28
12.7,2019-02-17 06:15:11
12.7,2019-02-17 06:17:11
12.7,2019-02-17 12:12:13
12.7,2019-02-17 12:23:42
12.7,2019-02-17 15:10:49
12.7,2019-02-17 18:09:29
12.7,2019-02-17 21:08:07
12.3,2019-02-18 00:06:40
11.9,2019-02-18 03:05:21
11.9,2019-02-18 03:07:21
11.9,2019-02-18 06:03:47
11.9,2019-02-18 09:02:24
11.9,2019-02-18 12:00:58
11.9,2019-02-18 14:59:34
11.9,2019-02-18 17:58:10
11.9,2019-02-18 20:56:46
11.9,2019-02-18 23:55:25
11.9,2019-02-19 02:54:41
11.9,2019-02-19 05:52:40
11.9,2019-02-19 08:51:14
11.9,2019-02-19 11:49:45
11.9,2019-02-19 14:48:22
11.9,2019-02-19 17:47:01
11.9,2019-02-19 20:45:32
11.1,2019-02-19 23:44:07
11.1,2019-02-20 02:42:48
11.1,2019-02-20 05:41:20
11.1,2019-02-20 08:39:55
11.1,2019-02-20 11:38:34
11.1,2019-02-20 14:37:11
11.1,2019-02-20 17:35:43
11.1,2019-02-20 20:34:22
11.1,2019-02-20 23:32:53
11.1,2019-02-21 02:31:32
11.1,2019-02-21 05:30:13
11.1,2019-02-21 05:32:14
11.1,2019-02-21 08:28:41
11.1,2019-02-21 11:27:16
11.1,2019-02-21 14:26:13
11.1,2019-02-21 17:24:27
11.1,2019-02-21 20:23:03
11.1,2019-02-21 23:21:39
11.1,2019-02-22 02:20:14
10.3,2019-02-22 05:18:51
10.3,2019-02-22 08:17:25
10.3,2019-02-22 11:16:02
11.1,2019-02-22 14:14:38
11.2,2019-02-22 17:13:12
11.1,2019-02-22 20:11:49
11.1,2019-02-22 23:10:23
11.1,2019-02-23 02:08:59
10.9,2019-02-23 05:07:39
10.3,2019-02-23 08:06:10
10.3,2019-02-23 11:04:46
10.3,2019-02-23 14:03:21
11.1,2019-02-23 17:01:57
10.3,2019-02-23 20:00:33
10.3,2019-02-23 22:59:15
10.3,2019-02-24 01:57:51
10.3,2019-02-24 04:56:25
10.3,2019-02-24 07:54:55
10.3,2019-02-24 10:53:30
10.3,2019-02-24 13:52:07
11.1,2019-02-24 16:50:50
10.3,2019-02-24 19:49:17
10.3,2019-02-24 22:47:57
10.3,2019-02-25 01:46:29
10.3,2019-02-25 04:45:18
10.3,2019-02-25 04:47:17
9.5,2019-02-25 07:43:41
9.5,2019-02-25 10:42:27
9.5,2019-02-25 10:44:25
10.3,2019-02-25 13:40:52
10.3,2019-02-25 16:39:34
10.3,2019-02-25 19:38:02
10.3,2019-02-25 22:36:39
9.5,2019-02-26 01:35:16
9.5,2019-02-26 04:33:50
9.5,2019-02-26 07:32:30
9.5,2019-02-26 10:31:00
9.5,2019-02-26 13:29:40
10.3,2019-02-26 16:28:12
9.8,2019-02-26 19:26:48
9.5,2019-02-26 22:25:24
9.5,2019-02-27 01:24:00
9.5,2019-02-27 04:22:35
9.5,2019-02-27 07:21:10
9.5,2019-02-27 10:19:47
9.5,2019-02-27 13:18:29
19.1,2019-02-27 16:16:57
17.1,2019-02-27 19:15:33
16.8,2019-02-27 22:14:08
16,2019-02-28 01:12:44
15.1,2019-02-28 04:11:20
15.1,2019-02-28 07:09:56
15.1,2019-02-28 10:08:31
15.1,2019-02-28 13:07:06
14.3,2019-02-28 16:05:48
14.3,2019-02-28 19:04:39
14.3,2019-02-28 19:06:43
14.3,2019-02-28 22:02:57
14.3,2019-03-01 01:01:29
14.3,2019-03-01 04:00:15
14.3,2019-03-01 04:02:16
14.3,2019-03-01 06:58:41
14.3,2019-03-01 09:57:23
14.3,2019-03-01 12:55:53
14.3,2019-03-01 15:54:35
13.5,2019-03-01 18:53:05
13.5,2019-03-01 21:51:40
13.5,2019-03-02 00:50:22
13.5,2019-03-02 03:48:59
13.5,2019-03-02 06:47:29
13.5,2019-03-02 09:46:16
13.5,2019-03-02 09:48:15
13.5,2019-03-02 12:44:49
13.5,2019-03-02 12:46:49
13.5,2019-03-02 15:43:16
12.7,2019-03-02 18:41:52
12.7,2019-03-02 21:40:28
12.7,2019-03-03 00:39:03
12.7,2019-03-03 03:37:39
12.7,2019-03-03 06:36:26
12.7,2019-03-03 06:38:34
12.7,2019-03-03 06:43:33
12.7,2019-03-03 09:34:51
12.7,2019-03-03 12:33:30
12.7,2019-03-03 15:32:05
12.7,2019-03-03 18:30:38
12.7,2019-03-03 21:29:21
12.7,2019-03-04 00:27:49
12.7,2019-03-04 03:26:25
12.7,2019-03-04 12:22:21
12.7,2019-03-04 12:24:26
13.1,2019-03-04 15:20:52
12.7,2019-03-04 18:19:26
12.7,2019-03-04 21:18:04
12.7,2019-03-05 00:16:46
12.7,2019-03-05 00:18:50
12.7,2019-03-05 03:15:15
12.7,2019-03-05 06:13:52
12.7,2019-03-05 09:12:26
12.7,2019-03-05 12:11:03
12.7,2019-03-05 15:09:39
12.7,2019-03-05 18:08:13
12.7,2019-03-05 21:06:49
11.9,2019-03-06 00:05:29
11.9,2019-03-06 03:04:02
11.9,2019-03-06 06:02:39
11.9,2019-03-06 09:01:13
11.9,2019-03-06 11:59:50
12.5,2019-03-06 14:58:24
11.9,2019-03-06 17:57:00
11.9,2019-03-06 20:55:39
11.9,2019-03-06 23:54:12
11.9,2019-03-07 02:52:49
11.9,2019-03-07 05:51:24
11.9,2019-03-07 08:49:59
11.9,2019-03-07 11:48:41
11.9,2019-03-07 11:50:45
11.9,2019-03-07 14:47:17
11.9,2019-03-07 14:49:21
11.9,2019-03-07 17:45:51
11.9,2019-03-07 20:44:22
11.1,2019-03-07 23:42:59
11.1,2019-03-08 02:41:36
11.1,2019-03-08 05:40:17
11.1,2019-03-08 05:42:20
11.1,2019-03-08 08:38:45
11.1,2019-03-08 11:37:28
11.1,2019-03-08 11:39:33
11.1,2019-03-08 14:36:00
11.7,2019-03-08 17:34:35
11.1,2019-03-08 20:33:10
11.1,2019-03-08 23:31:48
11.1,2019-03-09 02:30:23
11.1,2019-03-09 05:29:01
11.1,2019-03-09 08:27:40
11.1,2019-03-09 08:29:42
11.1,2019-03-09 11:26:08
11.1,2019-03-09 14:24:47
11.1,2019-03-09 17:23:20
11.1,2019-03-09 20:21:56
11.1,2019-03-09 23:20:32
10.3,2019-03-10 02:19:08
10.3,2019-03-10 05:17:46
10.3,2019-03-10 08:16:29
10.3,2019-03-10 08:18:33
10.3,2019-03-10 11:14:59
10.3,2019-03-10 14:13:31
10.7,2019-03-10 17:12:10
10.3,2019-03-10 20:10:43
10.3,2019-03-10 23:09:21
10.3,2019-03-11 02:07:55
10.3,2019-03-11 05:06:31
10.3,2019-03-11 08:05:16
10.3,2019-03-11 08:07:26
10.3,2019-03-11 08:12:28
10.3,2019-03-11 11:03:43
10.3,2019-03-11 14:02:26
10.3,2019-03-11 17:00:59
10.3,2019-03-11 17:03:04
10.3,2019-03-11 19:59:30
10.3,2019-03-11 22:58:06
9.5,2019-03-12 01:56:41
9.5,2019-03-12 04:55:19
9.5,2019-03-12 07:53:59
9.5,2019-03-12 07:56:07
9.5,2019-03-12 08:01:12
19.1,2019-03-12 10:52:29
17.9,2019-03-12 13:51:04
17.1,2019-03-12 16:49:43
16.8,2019-03-12 19:48:16
16,2019-03-12 22:46:54
15.1,2019-03-13 01:45:33
15.1,2019-03-13 01:47:38
15.1,2019-03-13 04:44:03
15.1,2019-03-13 07:42:43
15.1,2019-03-13 07:44:50
14.7,2019-03-13 10:41:14
14.6,2019-03-13 13:39:53
14.3,2019-03-13 16:38:27
14.3,2019-03-13 19:37:00
13.5,2019-03-13 22:35:38
13.5,2019-03-14 01:34:12
13.5,2019-03-14 04:32:47
13.5,2019-03-14 07:31:25
17.1,2019-03-14 10:30:03
17.1,2019-03-14 13:28:37
17.1,2019-03-14 16:27:14
17.1,2019-03-14 19:25:47
16.8,2019-03-14 22:24:30
16.8,2019-03-14 22:26:39
16.8,2019-03-14 22:31:52
16.8,2019-03-15 01:22:57
16.8,2019-03-15 04:21:33
16.8,2019-03-15 07:20:10
16.8,2019-03-15 10:18:50
16.8,2019-03-15 10:20:54
16.8,2019-03-15 13:17:20
17.1,2019-03-15 16:15:57
16.8,2019-03-15 19:14:34
16.8,2019-03-15 22:13:13
16.8,2019-03-16 01:11:45
16.6,2019-03-16 04:10:21
16,2019-03-16 07:08:55
16.8,2019-03-16 10:07:35
16.8,2019-03-16 10:09:40
16.8,2019-03-16 13:06:07
16.8,2019-03-16 16:04:47
16.8,2019-03-16 19:03:23
16,2019-03-16 22:01:54
16,2019-03-17 01:00:32
16,2019-03-17 03:59:12
16,2019-03-17 04:01:17
16,2019-03-17 06:58:03
16,2019-03-17 07:00:14
16,2019-03-17 07:05:09
16,2019-03-17 09:56:17
16,2019-03-17 12:54:54
16.8,2019-03-17 15:53:29
16,2019-03-17 18:52:10
16,2019-03-17 18:54:19
16,2019-03-17 18:59:29
16,2019-03-17 21:50:40
15.1,2019-03-18 00:49:20
15.1,2019-03-18 03:47:52
15.1,2019-03-18 06:46:28
15.1,2019-03-18 09:45:06
15.8,2019-03-18 12:43:44
16,2019-03-18 15:42:29
16,2019-03-18 15:44:42
16,2019-03-18 15:49:50
16,2019-03-18 18:40:49
16,2019-03-18 21:39:27
15.1,2019-03-19 00:38:02
15.1,2019-03-19 04:41:01
15.1,2019-03-19 06:35:21
15.1,2019-03-19 06:37:21
15.1,2019-03-19 09:33:49
11.9,2019-03-28 11:53:30
11.9,2019-03-28 11:58:38
11.9,2019-03-28 12:00:42
11.9,2019-03-28 12:01:48
12.7,2019-03-28 15:00:31
12.7,2019-03-28 15:02:33
12.7,2019-03-28 17:59:05
12.7,2019-03-28 18:01:16
12.7,2019-03-28 18:06:24
12.7,2019-03-28 20:57:36
12.7,2019-03-28 23:56:11
11.9,2019-03-29 02:56:51
11.9,2019-03-29 05:53:22
11.9,2019-03-29 08:51:59
11.9,2019-03-29 11:50:38
11.9,2019-03-29 11:52:43
12.3,2019-03-29 14:49:12
12.7,2019-03-29 17:47:47
12.7,2019-03-29 20:46:22
12.7,2019-03-29 23:44:53
11.9,2019-03-30 02:43:40
11.9,2019-03-30 02:45:40
11.9,2019-03-30 05:42:03
11.9,2019-03-30 08:40:48
11.9,2019-03-30 11:39:16
12.3,2019-03-30 14:38:00
12.7,2019-03-30 17:36:34
12.7,2019-03-30 17:38:41
12.7,2019-03-30 17:43:51
12.7,2019-03-30 20:35:09
12.7,2019-03-30 20:37:12
12.7,2019-03-30 23:33:39
11.9,2019-03-31 02:32:15
11.9,2019-03-31 05:30:57
11.9,2019-03-31 05:33:01
11.9,2019-03-31 08:29:40
11.9,2019-03-31 08:31:46
11.9,2019-03-31 08:37:17
11.9,2019-03-31 11:28:02
11.9,2019-03-31 14:26:39
12.7,2019-03-31 17:25:15
12.7,2019-03-31 20:23:50
12.5,2019-03-31 23:22:24
11.9,2019-04-01 02:21:03
11.9,2019-04-01 05:19:41
11.9,2019-04-01 05:21:45
11.9,2019-04-01 08:18:11
11.9,2019-04-01 11:16:47
11.9,2019-04-01 14:15:31
11.9,2019-04-01 14:17:37
12.7,2019-04-01 17:14:00
12.7,2019-04-01 20:12:36
12.5,2019-04-01 23:11:12
11.9,2019-04-02 02:09:48
11.9,2019-04-02 05:08:30
11.9,2019-04-02 05:10:37
11.9,2019-04-02 08:06:59
11.9,2019-04-02 11:05:44
11.9,2019-04-02 11:07:51
11.9,2019-04-02 14:04:12
12.7,2019-04-10 02:49:50
10.3,2019-04-10 05:48:26
10.3,2019-04-10 08:47:01
10.3,2019-04-10 11:45:36
11.1,2019-04-10 14:44:18
11.1,2019-04-10 17:42:49
11.1,2019-04-10 20:41:25
10.3,2019-04-10 23:39:59
10.3,2019-04-11 02:38:35
10.3,2019-04-11 05:37:10
10.3,2019-04-11 08:35:49
10.3,2019-04-11 11:34:31
10.3,2019-04-11 11:36:36
10.3,2019-04-11 14:32:57
11.1,2019-04-11 17:31:40
11.1,2019-04-11 17:33:47
11.1,2019-04-11 20:30:21
11.1,2019-04-11 20:32:18
10.3,2019-04-11 23:28:46
10.3,2019-04-12 02:27:20
10.3,2019-04-12 05:25:59
10.3,2019-04-12 05:28:04
9.5,2019-04-12 08:24:33
10.3,2019-04-12 11:23:05
10.3,2019-04-12 14:21:44
0.7,2019-05-03 11:42:52
0.7,2019-05-03 11:44:55
1,2019-05-03 11:46:21
0.8,2019-05-03 14:45:01
0.8,2019-05-03 14:47:15
0.8,2019-05-03 14:52:29
1.6,2019-06-19 08:33:16
1.6,2019-06-19 08:35:41
1.6,2019-06-19 08:40:44
2.2,2019-06-19 11:31:58
2.2,2019-06-19 11:34:00
2.2,2019-06-19 11:39:08
1.6,2019-06-19 14:30:34
1.6,2019-06-19 14:32:36
1.5,2019-06-19 17:29:05
1.5,2019-06-19 17:31:13
1.5,2019-06-19 17:36:19
1.4,2019-06-19 20:27:39
1.4,2019-06-19 20:29:48
1.4,2019-06-19 23:26:20
1.4,2019-06-19 23:28:26
1.4,2019-06-19 23:33:37
1.6,2019-06-20 02:24:54
1.6,2019-06-20 02:27:00
1.6,2019-06-20 02:32:06
1.6,2019-06-20 05:23:22
1.4,2019-06-20 08:41:54

SENSOR:,Soil temperature,Deg Centigrade
VALUE, TIMESTAMP
20.4,2019-02-14 18:43:08
19.2,2019-02-14 21:41:43
18,2019-02-15 00:40:21
16.6,2019-02-15 03:38:55
16.5,2019-02-15 06:37:30
15.5,2019-02-15 09:36:10
16.6,2019-02-15 12:34:44
25.6,2019-02-15 15:33:17
22,2019-02-15 18:31:53
19.2,2019-02-15 21:30:36
17.5,2019-02-16 00:29:05
15.5,2019-02-16 03:27:40
15.6,2019-02-16 06:26:15
14.9,2019-02-16 09:24:51
16.7,2019-02-16 12:23:31
20.6,2019-02-16 15:22:10
20.3,2019-02-16 18:20:45
17.6,2019-02-16 21:19:18
16.1,2019-02-17 00:17:50
14.4,2019-02-17 03:16:28
13.6,2019-02-17 06:15:11
13.6,2019-02-17 06:17:11
15.3,2019-02-17 12:12:13
13.1,2019-02-17 12:23:42
19.9,2019-02-17 15:10:49
19.8,2019-02-17 18:09:29
17.7,2019-02-17 21:08:07
16.3,2019-02-18 00:06:40
16.2,2019-02-18 03:05:21
16.2,2019-02-18 03:07:21
15.9,2019-02-18 06:03:47
15.5,2019-02-18 09:02:24
16.1,2019-02-18 12:00:58
18.3,2019-02-18 14:59:34
19.5,2019-02-18 17:58:10
18,2019-02-18 20:56:46
16.9,2019-02-18 23:55:25
15.8,2019-02-19 02:54:41
15.2,2019-02-19 05:52:40
15.8,2019-02-19 08:51:14
16.7,2019-02-19 11:49:45
21.5,2019-02-19 14:48:22
21.8,2019-02-19 17:47:01
21.1,2019-02-19 20:45:32
19,2019-02-19 23:44:08
17.8,2019-02-20 02:42:48
16.9,2019-02-20 05:41:20
15.5,2019-02-20 08:39:55
18.9,2019-02-20 11:38:34
22.7,2019-02-20 14:37:11
23.8,2019-02-20 17:35:43
21.2,2019-02-20 20:34:22
19.5,2019-02-20 23:32:53
18.6,2019-02-21 02:31:32
17.6,2019-02-21 05:30:13
17.6,2019-02-21 05:32:14
17.1,2019-02-21 08:28:41
18.1,2019-02-21 11:27:16
23,2019-02-21 14:26:13
24,2019-02-21 17:24:27
22.1,2019-02-21 20:23:03
20.5,2019-02-21 23:21:39
19.4,2019-02-22 02:20:14
18.7,2019-02-22 05:18:51
18,2019-02-22 08:17:25
19,2019-02-22 11:16:02
23.5,2019-02-22 14:14:38
24.5,2019-02-22 17:13:12
22.6,2019-02-22 20:11:49
20.7,2019-02-22 23:10:23
19.1,2019-02-23 02:08:59
18.5,2019-02-23 05:07:39
17.8,2019-02-23 08:06:10
18,2019-02-23 11:04:46
21.1,2019-02-23 14:03:21
24.4,2019-02-23 17:01:57
22.5,2019-02-23 20:00:33
19.9,2019-02-23 22:59:15
19.3,2019-02-24 01:57:51
18.8,2019-02-24 04:56:25
17.9,2019-02-24 07:54:55
18.4,2019-02-24 10:53:30
22.8,2019-02-24 13:52:07
25.6,2019-02-24 16:50:50
24,2019-02-24 19:49:17
20.9,2019-02-24 22:47:57
19.4,2019-02-25 01:46:29
18.3,2019-02-25 04:45:18
18.3,2019-02-25 04:47:17
17.6,2019-02-25 07:43:41
18.3,2019-02-25 10:42:27
18.3,2019-02-25 10:44:25
22.2,2019-02-25 13:40:52
25.5,2019-02-25 16:39:34
23.3,2019-02-25 19:38:02
20.9,2019-02-25 22:36:39
19.9,2019-02-26 01:35:16
19,2019-02-26 04:33:50
18.2,2019-02-26 07:32:30
18.8,2019-02-26 10:31:00
22,2019-02-26 13:29:40
24.8,2019-02-26 16:28:12
22.8,2019-02-26 19:26:48
20.8,2019-02-26 22:25:24
19.5,2019-02-27 01:24:00
18.2,2019-02-27 04:22:35
17.9,2019-02-27 07:21:10
17.5,2019-02-27 10:19:47
22,2019-02-27 13:18:29
26.9,2019-02-27 16:16:57
23.4,2019-02-27 19:15:33
20.9,2019-02-27 22:14:08
18.1,2019-02-28 01:12:44
17,2019-02-28 04:11:20
16.1,2019-02-28 07:09:56
16,2019-02-28 10:08:31
19.5,2019-02-28 13:07:06
22.3,2019-02-28 16:05:48
21,2019-02-28 19:04:39
21,2019-02-28 19:06:43
18.4,2019-02-28 22:02:57
16.2,2019-03-01 01:01:29
15.7,2019-03-01 04:00:15
15.7,2019-03-01 04:02:16
14.5,2019-03-01 06:58:41
14.8,2019-03-01 09:57:23
18.5,2019-03-01 12:55:53
22,2019-03-01 15:54:35
21.2,2019-03-01 18:53:05
19.6,2019-03-01 21:51:40
18.1,2019-03-02 00:50:22
17.3,2019-03-02 03:48:59
16.2,2019-03-02 06:47:29
16.3,2019-03-02 09:46:16
16.3,2019-03-02 09:48:15
18.2,2019-03-02 12:44:49
18.2,2019-03-02 12:46:49
21.5,2019-03-02 15:43:16
21.5,2019-03-02 18:41:52
20.8,2019-03-02 21:40:28
19.2,2019-03-03 00:39:03
18.5,2019-03-03 03:37:39
18.2,2019-03-03 06:36:26
18.2,2019-03-03 06:38:34
18.2,2019-03-03 06:43:33
18.6,2019-03-03 09:34:51
20.3,2019-03-03 12:33:30
24.7,2019-03-03 15:32:05
23.1,2019-03-03 18:30:38
21.1,2019-03-03 21:29:21
19.6,2019-03-04 00:27:49
19,2019-03-04 03:26:25
19.9,2019-03-04 12:22:21
19.9,2019-03-04 12:24:26
24.9,2019-03-04 15:20:52
24.3,2019-03-04 18:19:26
21.4,2019-03-04 21:18:04
19.7,2019-03-05 00:16:46
19.7,2019-03-05 00:18:50
18.3,2019-03-05 03:15:15
17.1,2019-03-05 06:13:52
16.8,2019-03-05 09:12:26
19.6,2019-03-05 12:11:03
25.6,2019-03-05 15:09:39
25.3,2019-03-05 18:08:13
22.8,2019-03-05 21:06:49
20.4,2019-03-06 00:05:29
18.8,2019-03-06 03:04:02
17.5,2019-03-06 06:02:39
16.9,2019-03-06 09:01:13
20.3,2019-03-06 11:59:50
25.6,2019-03-06 14:58:24
26.9,2019-03-06 17:57:00
22.9,2019-03-06 20:55:39
21.5,2019-03-06 23:54:12
20,2019-03-07 02:52:49
18.9,2019-03-07 05:51:24
18.1,2019-03-07 08:49:59
19.9,2019-03-07 11:48:41
19.9,2019-03-07 11:50:45
25.3,2019-03-07 14:47:17
25.3,2019-03-07 14:49:21
26.8,2019-03-07 17:45:51
24.6,2019-03-07 20:44:23
21.9,2019-03-07 23:42:59
21,2019-03-08 02:41:36
19.5,2019-03-08 05:40:17
19.5,2019-03-08 05:42:20
18.6,2019-03-08 08:38:45
20.6,2019-03-08 11:37:28
20.6,2019-03-08 11:39:33
25.1,2019-03-08 14:36:00
27,2019-03-08 17:34:35
24.5,2019-03-08 20:33:10
22.7,2019-03-08 23:31:48
21.3,2019-03-09 02:30:23
20,2019-03-09 05:29:01
19.4,2019-03-09 08:27:40
19.4,2019-03-09 08:29:42
21.1,2019-03-09 11:26:08
25.6,2019-03-09 14:24:47
28.1,2019-03-09 17:23:20
25.5,2019-03-09 20:21:56
23.3,2019-03-09 23:20:32
21.8,2019-03-10 02:19:08
21.3,2019-03-10 05:17:46
19.7,2019-03-10 08:16:29
19.7,2019-03-10 08:18:33
21.1,2019-03-10 11:14:59
25.4,2019-03-10 14:13:31
28.2,2019-03-10 17:12:10
26.5,2019-03-10 20:10:43
24.3,2019-03-10 23:09:21
23.2,2019-03-11 02:07:55
22,2019-03-11 05:06:31
20.6,2019-03-11 08:05:16
20.6,2019-03-11 08:07:26
20.6,2019-03-11 08:12:28
21.4,2019-03-11 11:03:43
25.5,2019-03-11 14:02:26
28.8,2019-03-11 17:00:59
28.8,2019-03-11 17:03:04
26.4,2019-03-11 19:59:30
23.8,2019-03-11 22:58:06
22.6,2019-03-12 01:56:41
20.3,2019-03-12 04:55:19
19.7,2019-03-12 07:53:59
19.7,2019-03-12 07:56:07
19.7,2019-03-12 08:01:12
22.4,2019-03-12 10:52:29
26,2019-03-12 13:51:04
26.9,2019-03-12 16:49:43
24.2,2019-03-12 19:48:16
21.8,2019-03-12 22:46:54
20.4,2019-03-13 01:45:33
20.4,2019-03-13 01:47:38
19.4,2019-03-13 04:44:03
18.7,2019-03-13 07:42:43
18.7,2019-03-13 07:44:50
19.1,2019-03-13 10:41:14
22.7,2019-03-13 13:39:53
24.9,2019-03-13 16:38:27
22.4,2019-03-13 19:37:00
20.8,2019-03-13 22:35:38
19.2,2019-03-14 01:34:12
18.1,2019-03-14 04:32:47
16.8,2019-03-14 07:31:25
18.2,2019-03-14 10:30:03
